LLM,Bengali,Dhivehi,Dzongkha,English,Hindi,Nepali,Pashto,Sinhala,Tamil,Urdu
deepseek,0.7914798206278026,0.3542600896860987,0.43946188340807174,0.820627802690583,0.8340807174887892,0.7242152466367713,0.6210762331838565,0.6390134529147982,0.7017937219730942,0.7354260089686099
gemma,0.6233183856502242,0.46860986547085204,0.23094170403587444,0.5829596412556054,0.5964125560538116,0.6300448430493274,0.5089686098654709,0.6031390134529148,0.6569506726457399,0.6188340807174888
llama,0.6614349775784754,0.12331838565022421,0.053811659192825115,0.32286995515695066,0.57847533632287,0.600896860986547,0.5358744394618834,0.49327354260089684,0.6748878923766816,0.6434977578475336
mixtral,0.6210762331838565,0.07399103139013453,0.07847533632286996,0.8161434977578476,0.7062780269058296,0.46860986547085204,0.1681614349775785,0.10089686098654709,0.31614349775784756,0.5426008968609866
